Country,Year,FDI,Imports,Exports,Aid,ME,PI
Colombia,2007,8885764398.0,20.66575497,16.43314213,1.536476539,3.29,3375
Costa Rica,2007,2241492021.0,45.87445834,40.58213751,0.477396693,,0
Cuba,2007,,17.6312498,20.33635987,,,0
Cyprus,2007,2294635571.0,58.01605326,53.25889801,,1.68,0
Germany,2007,50847183837.0,36.5516593,43.3227581,,1.17,125
Djibouti,2007,195351140.3,,,19.02284276,2.9,0
Denmark,2007,11809448518.0,48.58531613,51.48253505,,1.31,437
Dominican Republic,2007,2252900000.0,35.18520867,26.76202201,0.910682271,0.63,0
Algeria,2007,1686736540.0,24.8699642,47.06816484,1.013388905,2.92,0
Ecuador,2007,193872526.9,30.65537045,31.93176797,1.283512474,2.57,437
Eritrea,2007,7206504.0,28.78770695,5.771852584,,,312
Spain,2007,68229666915.0,31.76286494,25.98473881,,1.36,125
Estonia,2007,3033145920.0,71.38902848,62.59857277,,1.66,437
Ethiopia,2007,222000573.0,,,37.55046927,1.9,1875
Finland,2007,21979356205.0,39.03149589,43.8259066,,1.29,0
Fiji,2007,464230334.1,61.78746714,48.60204776,2.256660887,2.24,0
France,2007,83777598395.0,28.56749907,27.85325751,,1.91,937
Gabon,2007,654808577.2,26.60387458,58.52860459,1.292181426,,0
United Kingdom,2007,209515000000.0,27.45279312,25.51156032,,2.37,0
Georgia,2007,1892093991.0,57.57511563,30.81829844,6.037775451,9.16,2562
Ghana,2007,1383177930.0,40.82923168,24.5250906,11.06493872,0.37,0
Guinea,2007,385900000.0,47.57008061,23.55095814,15.73786627,,3312
Guinea-Bissau,2007,18770117.49,33.9507886,20.19103563,50.94499095,,0
Equatorial Guinea,2007,1242731087.0,45.46249589,88.62129397,,1.5,0
Greece,2007,1957124444.0,35.00410429,22.52026973,,2.68,0
Guatemala,2007,859200000.0,43.02084671,25.9805176,2.922860314,0.4,0
Guyana,2007,152400000.0,,,5.991759936,0.91,312
Honduras,2007,966926354.3,81.56162338,53.50901154,4.835062225,0.78,0
Croatia,2007,4645807617.0,45.77369048,37.44714381,0.523216167,1.62,0
Haiti,2007,74500000.0,25.83885966,8.443689323,25.89931968,,125
Hungary,2007,70631297039.0,77.67868554,77.81956482,,1.27,0
Indonesia,2007,6928480000.0,25.39353149,29.43571849,0.612425518,0.71,0
India,2007,25227740887.0,24.88656893,20.79969975,0.446116452,2.48,0
Ireland,2007,59934755383.0,72.56006864,80.83679518,,0.51,0
Iraq,2007,971800000.0,28.19301393,45.89983917,34.76156068,2.24,5875
Iceland,2007,6872169567.0,41.8308122,32.84010136,,,0
Israel,2007,8798100000.0,40.24311343,39.3715408,,6.37,687
Italy,2007,65975535145.0,27.70041338,27.36104225,,1.45,500
Jamaica,2007,811902426.3,61.51573114,39.72869092,0.327475241,0.65,0
Jordan,2007,2622144779.0,91.75933329,54.23491299,3.845749233,5.85,0
Japan,2007,21631204436.0,15.52745068,17.28912737,,0.88,250
Kazakhstan,2007,11972842989.0,42.84881221,49.31282089,0.423071717,1.3,0
Kenya,2007,729044146.0,31.97579751,21.91899129,12.82689617,1.55,1125
