Year,Country,PI,Gov,BC,RPE,PR,CL,Urban,Fertility
2005,Philippines,4687.4,8.0,0.0,1.1423999999999999,2.0,2.0,46.39,3.9088000000000003
2010,Philippines,1801.0,8.0,0.0,0.916,2.0,2.0,45.964999999999996,3.647
2000,Poland,100.0,7.4,1.2,0.98675,2.0,2.0,61.35940000000001,1.952
2005,Poland,25.0,9.0,2.4,0.9002000000000001,1.0,1.0,61.5826,1.506
2010,Poland,146.0,9.6,4.0,0.7118,1.0,1.0,61.7008,1.276
2000,Portugal,0.0,10.0,0.0,0.7506,1.0,1.0,49.150400000000005,1.526
2005,Portugal,25.0,10.0,0.0,0.7934,1.0,1.0,52.427200000000006,1.458
2010,Portugal,543.0,10.0,0.0,0.7844,1.0,1.0,55.6606,1.46
2000,Qatar,0.0,-10.0,0.0,1.6544,7.0,7.0,93.73140000000001,3.8448
2005,Qatar,0.0,-10.0,0.0,1.4604,6.8,6.8,95.6012,3.4235999999999995
2010,Qatar,0.0,-10.0,0.4,0.8924,6.0,6.0,96.6934,3.021
2000,Romania,0.0,5.0,1.0,1.7271999999999998,4.6,4.6,53.874,1.552
2005,Romania,25.0,7.4,2.6,1.4482,2.4,2.4,53.4634,1.314
2010,Romania,1333.3333333333333,8.2,0.0,1.2598,2.2,2.2,52.9182,1.296
2000,Rwanda,800.0,-6.8,5.0,0.6479999999999999,6.2,6.2,6.599600000000001,6.6206000000000005
2005,Rwanda,25.0,-6.0,11.6,0.7236,7.0,7.0,12.197,6.176
2010,Rwanda,625.6666666666666,-3.6,11.6,0.8183999999999999,6.6,6.6,16.268800000000002,5.753400000000001
2000,Saudi Arabia,25.0,-10.0,11.2,0.704,7.0,7.0,77.6544,5.4892
2005,Saudi Arabia,0.0,-10.0,3.4,0.8832000000000001,7.0,7.0,79.1452,4.5958
2010,Saudi Arabia,276.6666666666667,-10.0,3.2,1.0006,7.0,7.0,80.30260000000001,3.714
2000,Senegal,375.0,-1.0,1.0,0.9426,4.0,4.0,39.1798,6.1552
2005,Senegal,0.0,-1.0,1.0,0.9004,4.0,4.0,39.8914,5.667
2010,Senegal,439.3333333333333,8.0,0.4,0.9832000000000001,2.4,2.4,40.719,5.3314
2005,Serbia,0.0,,,,,,,
2010,Serbia,2.6666666666666665,,,,,,,
2000,Sierra Leone,2025.0,-6.8,4.0,0.7066,6.6,6.6,33.7208,6.5602
2005,Sierra Leone,0.0,-46.8,2.4,0.6277999999999999,4.8,4.8,34.9058,6.5112
2010,Sierra Leone,0.0,-30.0,1.2,0.657,4.0,4.0,36.11,6.1792
2000,Singapore,0.0,-4.0,0.0,0.7123999999999999,4.4,4.4,100.0,1.746
2005,Singapore,0.0,-4.0,0.0,0.6378,4.8,4.8,100.0,1.5779999999999998
2010,Singapore,41.666666666666664,-4.0,0.0,0.5197999999999999,5.0,5.0,100.0,1.3820000000000001
2000,Slovenia,0.0,10.0,3.0,1.0439999999999998,1.3333333333333333,1.3333333333333333,50.56933333333333,1.3266666666666669
2005,Slovenia,0.0,10.0,0.6,1.2488,1.0,1.0,50.675,1.252
2010,Slovenia,41.666666666666664,10.0,0.0,1.1938,1.0,1.0,50.9562,1.226
2000,Solomon Islands,1487.4,8.0,0.0,1.5244,1.0,1.0,14.0672,5.4677999999999995
2005,Solomon Islands,1487.4,8.0,0.0,1.156,1.0,1.0,15.078,5.0144
2010,Solomon Islands,0.0,-57.8,0.0,0.9388,3.4,3.4,16.605,4.6328000000000005
2000,Somalia,275.0,-63.0,3.8,0.25620000000000004,7.0,7.0,30.3604,7.4959999999999996
2005,Somalia,3674.8,-77.0,2.2,0.41459999999999997,7.0,7.0,32.1492,7.6286000000000005
2010,Somalia,2588.6666666666665,-77.0,1.2,0.40359999999999996,6.0,6.0,34.2282,7.5678
2000,South Africa,75.0,-31.4,3.6,1.59,4.4,4.4,53.0308,3.4902
2005,South Africa,75.0,9.0,0.0,1.671,1.0,1.0,55.4486,2.8172
2010,South Africa,648.6666666666666,9.0,0.0,1.582,1.0,1.0,57.919200000000004,2.3808
2000,Spain,3624.8,10.0,0.0,1.1534,1.0,1.0,75.591,1.29
2005,Spain,1325.0,10.0,0.0,1.11,1.0,1.0,76.0188,1.15
2010,Spain,2213.0,10.0,0.0,1.108,1.0,1.0,76.5876,1.262
2000,Sri Lanka,3325.0,5.0,0.0,1.2002000000000002,4.0,4.0,18.5042,2.4498
2005,Sri Lanka,2124.8,5.0,0.0,1.0142,3.2,3.2,18.4268,2.1938
2010,Sri Lanka,104.0,5.4,0.0,0.8492000000000001,3.0,3.0,18.3494,2.254
2000,Sudan,2875.0,-7.0,10.8,0.5846,7.0,7.0,30.771800000000002,6.0344
2005,Sudan,3212.4,-6.8,12.8,0.4593999999999999,7.0,7.0,32.337,5.6084000000000005
2010,Sudan,1250.0,-6.0,10.4,0.32839999999999997,7.0,7.0,32.601,5.2442
2000,Suriname,0.0,4.4,0.0,0.73,3.8,3.8,65.854,3.1928
2005,Suriname,0.0,5.0,0.0,0.9696,3.0,3.0,66.2234,2.994
2010,Suriname,0.0,5.0,0.0,1.1522000000000001,1.0,1.0,66.5906,2.839
2000,Sweden,125.0,10.0,0.0,1.5328,1.0,1.0,83.37039999999999,2.04
2005,Sweden,25.0,10.0,0.0,1.512,1.0,1.0,83.92960000000001,1.5699999999999998
2010,Sweden,0.0,10.0,0.0,1.4036000000000002,1.0,1.0,84.1368,1.6440000000000001
2000,Switzerland,50.0,10.0,0.0,0.752,1.0,1.0,73.816,1.548
2005,Switzerland,0.0,10.0,0.0,0.7922,1.0,1.0,73.546,1.482
2010,Switzerland,0.3333333333333333,10.0,0.0,0.7978,1.0,1.0,73.4076,1.416
2000,Tajikistan,62.4,-5.0,9.0,,6.25,6.25,30.2525,4.92975
2005,Tajikistan,0.0,-3.8,8.6,0.7304,6.4,6.4,27.8122,4.3648
2010,Tajikistan,837.3333333333334,-1.8,5.2,0.9625999999999999,6.0,6.0,26.5048,3.7584000000000004
2000,Tanzania,174.8,-5.4,12.4,0.9446,6.0,6.0,19.5396,6.0692
2005,Tanzania,149.8,-1.0,10.8,0.8757999999999999,4.8,4.8,21.241,5.8148
2010,Tanzania,105.33333333333333,-1.0,8.0,0.7666000000000001,4.0,4.0,23.1722,5.6372
2000,Thailand,712.4,5.8,6.4,1.2696,3.4,3.4,29.763800000000003,2.019
2005,Thailand,2074.8,9.0,5.2,1.1300000000000001,2.6,2.6,30.6222,1.8206
2010,Thailand,1062.3333333333333,9.0,4.0,0.9452,2.0,2.0,33.7556,1.5802
2000,Togo,0.0,-4.2,0.2,0.7014,6.2,6.2,29.4284,5.9438
2005,Togo,1174.8,-2.0,0.0,0.7162,5.8,5.8,31.579199999999997,5.4698
2010,Togo,104.0,-2.0,0.0,0.7888,5.6,5.6,33.8122,5.1826
2000,Trinidad and Tobago,162.4,8.0,0.0,1.261,1.0,1.0,54.4908,2.1986
2005,Trinidad and Tobago,0.0,9.0,0.0,1.075,1.0,1.0,55.40599999999999,1.8424
2010,Trinidad and Tobago,1.0,9.0,0.0,1.0282,2.8,2.8,55.5302,1.7246
2000,Tunisia,0.0,-4.8,3.2,1.459,5.6,5.6,59.540800000000004,3.1686
2005,Tunisia,0.0,-3.0,4.0,1.4608,6.0,6.0,62.260400000000004,2.371
2010,Tunisia,612.3333333333334,-3.6,4.0,1.445,6.0,6.0,64.19739999999999,1.9940000000000002
2000,Turkmenistan,62.4,-8.75,10.0,0.616,6.75,6.75,44.86175,3.89375
2005,Turkmenistan,0.0,-9.0,7.0,0.6112,7.0,7.0,45.2414,3.2306
2010,Turkmenistan,0.0,-9.0,5.2,0.3512,7.0,7.0,46.3622,2.7376
2000,Uganda,499.8,-5.8,12.2,0.5256000000000001,5.8,5.8,11.787600000000001,6.968000000000001
2005,Uganda,2562.4,-4.0,14.8,0.7852,4.4,4.4,13.603399999999999,6.8957999999999995
2010,Uganda,1218.6666666666667,-4.0,12.0,0.8320000000000001,5.6,5.6,15.636199999999999,6.755199999999999
2000,Ukraine,412.4,6.0,1.75,2.0404999999999998,3.25,3.25,66.85425000000001,1.62
2005,Ukraine,150.0,7.0,3.0,1.6992,3.0,3.0,67.0286,1.2686
2010,Ukraine,209.66666666666666,6.0,4.0,1.2578,4.0,4.0,67.327,1.1358000000000001
2000,United Kingdom,462.4,10.0,0.0,1.0592000000000001,1.0,1.0,78.1898,1.7879999999999998
2005,United Kingdom,112.4,10.0,0.0,0.999,1.0,1.0,78.4722,1.7100000000000002
2010,United Kingdom,635.6666666666666,10.0,0.0,1.0164,1.0,1.0,79.08340000000001,1.67
2000,United States,200.0,10.0,0.2,0.877,1.0,1.0,76.0922,2.0421
2005,United States,300.0,10.0,0.6,0.8939999999999999,1.0,1.0,78.00399999999999,1.9863
2010,United States,2409.6666666666665,10.0,0.0,0.8196,1.0,1.0,79.408,2.0412
2000,Uruguay,0.0,10.0,0.0,1.267,1.4,1.4,89.6178,2.4228
2005,Uruguay,125.0,10.0,0.0,1.2126,1.2,1.2,91.1434,2.315
2010,Uruguay,0.0,10.0,0.0,1.1648,1.0,1.0,92.56120000000001,2.1266
2000,Uzbekistan,1275.0,-9.0,9.25,2.3035,6.5,6.5,42.54475,3.885
2005,Uzbekistan,525.0,-9.0,9.4,2.6944000000000004,7.0,7.0,44.686400000000006,3.1066
2010,Uzbekistan,0.0,-9.0,5.2,2.1162,7.0,7.0,47.089,2.476
2000,Zambia,162.4,3.0,11.8,0.9172,3.2,3.2,38.5048,6.3872
2005,Zambia,0.0,2.0,11.8,0.9774,4.6,4.6,36.178399999999996,6.115399999999999
2010,Zambia,0.0,4.2,9.6,1.0532,4.4,4.4,35.532,5.8042
2000,Zimbabwe,487.2,-6.0,6.6,1.8026,5.2,5.2,30.3,4.562
2005,Zimbabwe,287.4,-5.4,1.2,1.9091999999999998,5.2,5.2,32.5368,4.0734
2010,Zimbabwe,0.6666666666666666,-3.8,0.0,1.5826,6.2,6.2,34.2572,3.8748000000000005
